add,date,amount,price,area,type,age,floor.height,subject,pattern,car,use,lon,lat
臺北市大同區寧夏路１１號十一樓之１８,111/06/27,650,61,10.66,住宅大樓(11層含以上有電梯),26,十一層/十四層,房地(土地+建物),1房1廳1衛,0,住家用,121.5150301,25.0546731
臺北市大同區長安西路３４２號十二樓之２,111/06/27,4900,57.5,85.2,住宅大樓(11層含以上有電梯),35,十二層/十二層,房地(土地+建物)+車位,5房2廳2衛,0,住家用,121.5102772,25.0519359
臺北市大同區承德路三段１５６號十一樓之１,111/06/27,1780,51.5,34.55,住宅大樓(11層含以上有電梯),16,十一層/十三層,房地(土地+建物)+車位,2房1廳1衛,0,住家用,121.5182051,25.0682255
臺北市大同區南京西路５７號十七樓之３,111/06/27,2745,148.4,18.5,住宅大樓(11層含以上有電梯),3,十七層/十九層,房地(土地+建物),1房1廳1衛,0,住家用,121.5193976,25.053061
臺北市大同區寧夏路３２號八樓之１０,111/06/26,721,50.7,14.21,住宅大樓(11層含以上有電梯),40,八層/十一層,房地(土地+建物),1房1廳1衛,0,住家用,121.5151416,25.0559543
臺北市大同區敦煌路８０巷１號十二樓之１,111/06/26,2488,67.1,37.07,住宅大樓(11層含以上有電梯),15,十二層/十二層,房地(土地+建物)+車位,2房2廳1衛,0,住家用,121.5175497,25.0750439
臺北市大同區延平北路二段２３５號十樓之６,111/06/26,875,64.1,13.66,住宅大樓(11層含以上有電梯),39,十層/十一層,房地(土地+建物),1房1廳1衛,0,住家用,121.5114662,25.060467
臺北市大同區華亭街３６號六樓之３,111/06/25,1150,73,16.47,住宅大樓(11層含以上有電梯),12,六層/十一層,房地(土地+建物)+車位,1房1廳1衛,150,住家用,121.5130554,25.0534926
臺北市大同區重慶北路二段１８５號十二樓,111/06/25,1850,62.7,29.48,住宅大樓(11層含以上有電梯),41,十二層/十二層,房地(土地+建物),2房2廳1衛,0,住家用,121.5137603,25.0599622
臺北市大同區重慶北路三段３７７號六樓之１,111/06/25,485,62.8,7.73,華廈(10層含以下有電梯),26,六層/八層,房地(土地+建物),1房1廳1衛,0,住家用,121.514139,25.075778
臺北市大同區大龍街２２８號四樓,111/06/21,1000,42.6,23.46,公寓(5樓含以下無電梯),49,"四層,陽臺/四層",房地(土地+建物),4房1廳1衛,0,住家用,121.5158181,25.069633
臺北市大同區南京西路５７號十七樓之１,111/06/21,2432,147.1,16.53,住宅大樓(11層含以上有電梯),3,十七層/十九層,房地(土地+建物),1房1廳1衛,0,住家用,121.5193985,25.0530153
臺北市大同區南京西路５７號十七樓,111/06/21,4773,147.8,36.14,住宅大樓(11層含以上有電梯),3,十七層/十九層,房地(土地+建物)+車位,3房2廳2衛,160,住家用,121.5193985,25.0530153
臺北市大同區重慶北路二段２２５號五樓,111/06/21,1273,32.7,38.91,住宅大樓(11層含以上有電梯),1,五層/十三層,房地(土地+建物)+車位,2房1廳1衛,0,住家用,121.5137701,25.0615804
臺北市大同區民權西路２３７之１號十五樓,111/06/20,5860,78.5,82.05,住宅大樓(11層含以上有電梯),3,十五層/十九層,房地(土地+建物)+車位,3房2廳2衛,350,住家用,121.5117242,25.0631256
臺北市大同區南京西路３６０之２號十二樓之３,111/06/20,620,61.8,10.02,住宅大樓(11層含以上有電梯),44,十二層/十四層,房地(土地+建物),1房1廳1衛,0,住家用,121.51101,25.0536769
臺北市大同區重慶北路二段８８號五樓,111/06/17,6900,54.1,127.49,住宅大樓(11層含以上有電梯),9,五層/十五層,房地(土地+建物)+車位,4房2廳2衛,0,住家用,121.5136294,25.0567071
臺北市大同區五原路１９號三樓之５,111/06/16,1500,63.1,23.79,住宅大樓(11層含以上有電梯),13,三層/十四層,房地(土地+建物),2房1廳1衛,0,住家用,121.517332,25.0566929
臺北市大同區大龍街８９巷１號五樓之３,111/06/16,240,43.5,5.52,公寓(5樓含以下無電梯),57,五層/五層,房地(土地+建物),1房1廳1衛,0,住家用,121.5166559,25.0667693
臺北市大同區承德路三段１２９巷２１號三樓,111/06/15,1080,59.8,18.07,公寓(5樓含以下無電梯),46,三層/五層,房地(土地+建物),2房2廳1衛,0,住家用,121.5192707,25.0673659
臺北市大同區迪化街二段２７２巷７號五樓,111/06/15,1550,42.9,36.15,公寓(5樓含以下無電梯),37,五層/五層,房地(土地+建物),3房2廳2衛,0,住家用,121.5112184,25.0709589
臺北市大同區南京西路５７號十六樓,111/06/13,4520,140,36.14,住宅大樓(11層含以上有電梯),3,十六層/十九層,房地(土地+建物)+車位,3房2廳2衛,150,住家用,121.5193985,25.0530153
臺北市大同區伊寧街９巷５號,111/06/13,1550,63.9,24.25,華廈(10層含以下有電梯),24,一層/六層,房地(土地+建物)+車位,1房1廳1衛,0,住家用,121.5131147,25.0651015
臺北市大同區雙連街７５號十五樓,111/06/12,5780,94.1,76.29,住宅大樓(11層含以上有電梯),5,十五層/十五層,房地(土地+建物)+車位,3房2廳2衛,640,住家用,121.5190353,25.0597616
臺北市大同區酒泉街２０１號三樓,111/06/10,3900,46.7,86.13,華廈(10層含以下有電梯),11,三層/七層,房地(土地+建物)+車位,4房2廳2衛,300,住家用,121.5118872,25.0722226
臺北市大同區華亭街３６號五樓之７,111/06/10,606,78,7.77,住宅大樓(11層含以上有電梯),12,五層/十一層,房地(土地+建物),1房1廳1衛,0,住家用,121.5130554,25.0534926
臺北市大同區迪化街二段１５８號二樓之３,111/06/08,3320,76,49.97,住宅大樓(11層含以上有電梯),1,二層/十五層,房地(土地+建物)+車位,3房2廳1衛,260,住家用,121.5099719,25.0667526
臺北市大同區承德路三段３０１巷２０號五樓,111/06/08,1329,42.8,31.05,公寓(5樓含以下無電梯),42,五層/五層,房地(土地+建物),3房2廳2衛,0,住家用,121.5212174,25.0757834
臺北市大同區承德路三段３０１巷２０號二樓,111/06/08,1392,44.8,31.05,公寓(5樓含以下無電梯),42,二層/五層,房地(土地+建物),2房2廳2衛,0,住家用,121.5212174,25.0757834
臺北市大同區承德路三段３０１巷２０號三樓,111/06/08,1377,44.3,31.05,公寓(5樓含以下無電梯),42,三層/五層,房地(土地+建物),3房2廳2衛,0,住家用,121.5212174,25.0757834
臺北市大同區承德路三段３０１巷２０號四樓,111/06/08,1347,43.4,31.05,公寓(5樓含以下無電梯),43,四層/五層,房地(土地+建物),3房2廳2衛,0,住家用,121.5212174,25.0757834
臺北市大同區大龍街３２號五樓,111/06/08,3250,52.2,62.21,華廈(10層含以下有電梯),5,五層/七層,房地(土地+建物)+車位,3房2廳2衛,450,住家用,121.5160073,25.0642676
臺北市大同區南京西路２５巷４０號二樓,111/06/07,2350,50.4,46.67,華廈(10層含以下有電梯),16,二層/七層,房地(土地+建物),2房1廳1衛,0,住家用,121.5204577,25.0569731
臺北市大同區酒泉街７４號六樓之１,111/06/06,2188,56.9,38.48,華廈(10層含以下有電梯),40,六層/七層,房地(土地+建物),3房2廳2衛,0,住家用,121.5150425,25.071922
臺北市大同區寧夏路１１號七樓之１,111/06/06,830,59,14.08,住宅大樓(11層含以上有電梯),26,七層/十四層,房地(土地+建物),1房1廳1衛,0,住家用,121.5150301,25.0546731
臺北市大同區雙連街７７號十五樓之１,111/06/06,5910,75.7,78.04,住宅大樓(11層含以上有電梯),5,十五層/十五層,房地(土地+建物)+車位,3房2廳2衛,0,住家用,121.5190309,25.0598091
臺北市大同區迪化街二段１５８號二樓之２,111/06/04,2930,74.1,45.73,住宅大樓(11層含以上有電梯),1,二層/十五層,房地(土地+建物)+車位,3房2廳2衛,260,住家用,121.5099719,25.0667526
臺北市大同區民權西路２３７之１號十六樓,111/06/02,6000,81,82.05,住宅大樓(11層含以上有電梯),3,十六層/十九層,房地(土地+建物)+車位,3房2廳2衛,320,住家用,121.5117242,25.0631256
臺北市大同區寧夏路２０號四樓之３,111/06/01,1075,76.7,14.02,住宅大樓(11層含以上有電梯),11,四層/十三層,房地(土地+建物),1房1廳1衛,0,住家用,121.5148473,25.0549352
臺北市大同區民族西路２２５巷３弄１０號六樓,111/05/31,2850,55,51.8,華廈(10層含以下有電梯),33,六層/七層,房地(土地+建物),4房2廳2衛,0,住家用,121.5127405,25.0690678
臺北市大同區延平北路二段２３５號十樓之５,111/05/31,750,63.9,11.74,住宅大樓(11層含以上有電梯),39,十層/十一層,房地(土地+建物),0房1廳1衛,0,住家用,121.5114662,25.060467
臺北市大同區華亭街３６號四樓之２,111/05/30,631,72.7,8.68,住宅大樓(11層含以上有電梯),12,四層/十一層,房地(土地+建物),1房1廳1衛,0,住家用,121.5130554,25.0534926
臺北市大同區延平北路二段２３５號九樓之４,111/05/29,800,76.5,10.46,住宅大樓(11層含以上有電梯),39,九層/十一層,房地(土地+建物),2房1廳1衛,0,住家用,121.5114662,25.060467
臺北市大同區重慶北路三段１９１巷８號七樓,111/05/29,2350,60.1,39.13,華廈(10層含以下有電梯),41,七層/七層,房地(土地+建物),3房2廳2衛,0,住家用,121.5144246,25.0693329
臺北市大同區南京西路３４４巷３５號九樓之２,111/05/28,904,44,20.54,華廈(10層含以下有電梯),29,九層/九層,房地(土地+建物),2房0廳2衛,0,住家用,121.512335,25.0528661
臺北市大同區南京西路３４４巷３５號九樓,111/05/28,342,44,7.78,華廈(10層含以下有電梯),29,九層/九層,房地(土地+建物),1房0廳1衛,0,住家用,121.512335,25.0528661
臺北市大同區南京西路３４４巷３５號九樓之６,111/05/28,392,44,8.9,華廈(10層含以下有電梯),29,九層/九層,房地(土地+建物),1房0廳1衛,0,住家用,121.512335,25.0528661
臺北市大同區南京西路３４４巷３５號九樓之１,111/05/28,505,44,11.47,華廈(10層含以下有電梯),29,九層/九層,房地(土地+建物),1房0廳1衛,0,住家用,121.512335,25.0528661
臺北市大同區南京西路３４４巷３５號九樓之５,111/05/28,403,44,9.17,華廈(10層含以下有電梯),29,九層/九層,房地(土地+建物),1房0廳1衛,0,住家用,121.512335,25.0528661
臺北市大同區南京西路３４４巷３５號九樓之４,111/05/28,286,44,6.5,華廈(10層含以下有電梯),29,九層/九層,房地(土地+建物),1房0廳1衛,0,住家用,121.512335,25.0528661
