"地段位置或門牌","交易年月","總價","單價","總面積","型態","屋齡","樓別.樓高","交易標的","建物現況格局","車位總價","主要用途","lon","lat"
"臺北市南港區忠孝東路六段４５２號二樓","111/05/28",1650,68.6,24.04,"公寓(5樓含以下無電梯)",48,"二層/四層","房地(土地+建物)","4房1廳1衛",0,"住家用",121.5942468,25.0502679
"臺北市南港區忠孝東路六段４５２號三樓","111/05/28",800,33.3,24.04,"公寓(5樓含以下無電梯)",48,"三層/四層","房地(土地+建物)","5房1廳1衛",0,"住家用",121.5942468,25.0502679
"臺北市南港區忠孝東路六段４５２號","111/05/28",4200,174.7,24.04,"公寓(5樓含以下無電梯)",48,"一層,騎樓/四層","房地(土地+建物)","0房2廳1衛",0,"住家用",121.5942468,25.0502679
"臺北市南港區舊莊街一段２１２巷１２號三樓","111/05/28",1100,53,20.74,"華廈(10層含以下有電梯)",6,"三層/五層","房地(土地+建物)","1房1廳2衛",0,"住家用",121.6221493,25.0382186
"臺北市南港區重陽路４１號六樓","111/05/27",5080,57,89.1,"住宅大樓(11層含以上有電梯)",12,"六層/十一層","房地(土地+建物)+車位","4房2廳2衛",0,"住家用",121.5959791,25.0555184
"臺北市南港區研究院路二段１８２巷７９弄１４號","111/05/26",1100,37.3,29.48,"公寓(5樓含以下無電梯)",38,"一層/五層","房地(土地+建物)","2房2廳1衛",0,"住家用",121.6138222,25.0370164
"臺北市南港區研究院路三段１２巷３號五樓","111/05/24",2208,40.8,54.12,"華廈(10層含以下有電梯)",18,"五層/八層","房地(土地+建物)+車位","3房2廳2衛",0,"住家用",121.6154058,25.0359574
"臺北市南港區忠孝東路六段３２２巷９號三樓","111/05/21",1880,72.2,26.05,"公寓(5樓含以下無電梯)",37,"三層/五層","房地(土地+建物)","3房2廳2衛",0,"住家用",121.5908775,25.0490092
"臺北市南港區成福路７４巷８號四樓之１","111/05/20",1805,95.5,18.91,"華廈(10層含以下有電梯)",5,"四層/七層","房地(土地+建物)","1房1廳1衛",0,"住家用",121.586309,25.0439655
"臺北市南港區重陽路４６２號十三樓之１","111/05/16",7795,99.8,93.61,"住宅大樓(11層含以上有電梯)",12,"十三層/十五層","房地(土地+建物)+車位","4房2廳2衛",600,"住家用",121.6109742,25.059608
"臺北市南港區經貿二路２３５巷６３號二樓","111/05/15",2750,99.8,27.55,"住宅大樓(11層含以上有電梯)",12,"二層/十二層","房地(土地+建物)","2房1廳1衛",0,"住家用",121.6160377,25.062018
"臺北市南港區松河街７７０號五樓之２","111/05/15",830,71,11.69,"華廈(10層含以下有電梯)",12,"五層/七層","房地(土地+建物)","1房1廳1衛",0,"住家用",121.6116762,25.0613637
