"地段位置或門牌","交易年月","總價","單價","總面積","型態","屋齡","樓別.樓高","交易標的","建物現況格局","車位總價","主要用途","lon","lat"
"臺北市松山區八德路四段１８１巷１７弄１３號二樓","111/05/18",2730,64,42.64,"公寓(5樓含以下無電梯)",48,"二層,陽臺/四層","房地(土地+建物)","3房2廳2衛","0","住家用",121.5635876,25.0494021
"臺北市松山區三民路１３６巷３６號五樓","111/05/18",2550,81.5,31.28,"華廈(10層含以下有電梯)",50,"五層,陽台/六層","房地(土地+建物)","4房2廳2衛","0","住家用",121.5638024,25.060480600000002
"臺北市松山區健康路１５巷４８號二樓","111/05/18",3256,89.3,36.46,"住宅大樓(11層含以上有電梯)",21,"二層/十三層","房地(土地+建物)","2房2廳1衛","0","住家用",121.5529362,25.0555351
"臺北市松山區南京東路五段２８６巷６號二樓之１","111/05/17",1280,75.6,16.94,"華廈(10層含以下有電梯)",46,"二層,陽台/六層","房地(土地+建物)","2房2廳1衛","0","住家用",121.5671281,25.0503824
"臺北市松山區三民路１１３巷１９號三樓","111/05/16",2600,86.3,30.13,"公寓(5樓含以下無電梯)",49,"三層,陽臺/四層","房地(土地+建物)","3房2廳2衛","0","住家用",121.5624261,25.0578394
"臺北市松山區健康路４０８號十樓","111/05/16",9485,110.1,105.44,"住宅大樓(11層含以上有電梯)",11,"十層/十五層","房地(土地+建物)+車位","4房2廳2衛","650","住家用",121.5667963,25.0541093
"臺北市松山區復興北路４２７巷２５號十一樓之９","111/05/16",1030,75.1,13.71,"住宅大樓(11層含以上有電梯)",14,"十一層/十一層","房地(土地+建物)+車位","1房1廳1衛","0","住家用",121.5465029,25.0634211
"臺北市松山區長春路３５７號六樓","111/05/16",5030,78.2,64.35,"住宅大樓(11層含以上有電梯)",35,"六層/十四層","房地(土地+建物)+車位","2房2廳2衛","0","住家用",121.545402,25.0546315
"臺北市松山區健康路１７４之２號八樓","111/05/14",2200,79.8,27.57,"住宅大樓(11層含以上有電梯)",44,"八層/十三層","房地(土地+建物)","1房1廳1衛","0","住家用",121.55821,25.0535159
"臺北市松山區八德路四段６３６號十三樓之９","111/05/13",2010,73.9,27.19,"住宅大樓(11層含以上有電梯)",8,"十三層/十三層","房地(土地+建物)+車位","1房1廳1衛","0","住家用",121.5746776,25.0498065
"臺北市松山區敦化北路１４５巷２３弄５號五樓","111/05/13",3296,120.2,27.42,"華廈(10層含以下有電梯)",1,"五層/七層","房地(土地+建物)+車位","1房1廳1衛","0","住家用",121.550351,25.0530168
"臺北市松山區南京東路五段２５０巷２弄１６之３號","111/05/13",1500,120.4,12.46,"華廈(10層含以下有電梯)",46,"一層,平台/六層","房地(土地+建物)","0房1廳1衛","0","住家用",121.5669117,25.0506317
"臺北市松山區光復南路２２巷３６號五樓","111/05/10",3600,87.5,41.14,"華廈(10層含以下有電梯)",30,"五層/九層","房地(土地+建物)","3房2廳2衛","0","住家用",121.5555105,25.0467996
"臺北市松山區新中街６巷２號四樓","111/05/10",4000,103.5,38.67,"公寓(5樓含以下無電梯)",53,"四層/四層","房地(土地+建物)","4房2廳2衛","0","住家用",121.5607372,25.05812
"臺北市松山區市民大道四段３９之３號二十二樓","111/05/08",25130,239.9,136.07,"住宅大樓(11層含以上有電梯)",2,"二十二層/二十三層","房地(土地+建物)+車位","2房2廳3衛","1,320","住家用",121.5458466,25.0457511
"臺北市松山區八德路四段１０６巷８弄１４號三樓","111/05/08",2138,75.9,28.16,"公寓(5樓含以下無電梯)",52,"三層/四層","房地(土地+建物)","3房2廳2衛","0","住家用",121.5604615,25.0470872
"臺北市松山區撫遠街２０１號二樓之２","111/05/08",1386,78,17.78,"華廈(10層含以下有電梯)",45,"二層/七層","房地(土地+建物)","2房1廳1衛","0","住家用",121.5679977,25.0599116
"臺北市松山區復興北路３３３號十二樓之４","111/05/08",1650,71.5,23.08,"住宅大樓(11層含以上有電梯)",39,"十二層/十二層","房地(土地+建物)","1房1廳1衛","0","住家用",121.5444343,25.059795
"臺北市松山區基隆路一段３０號十二樓","111/05/07",2300,60.3,38.14,"住宅大樓(11層含以上有電梯)",42,"十二層/十二層","房地(土地+建物)","3房2廳2衛","0","住家用",121.56981,25.0506174
"臺北市松山區民生東路五段６９巷１號七樓之７","111/05/07",784,84.6,9.27,"華廈(10層含以下有電梯)",43,"七層/七層","房地(土地+建物)","1房1廳1衛","0","住家用",121.558107,25.059041
"臺北市松山區富錦街４７３號","111/05/07",4200,127.7,32.9,"公寓(5樓含以下無電梯)",51,"一層/四層","房地(土地+建物)","3房2廳2衛","0","住家用",121.5625987,25.0609564
"臺北市松山區南京東路五段２３９號四樓之２３","111/05/06",2460,100.7,24.42,"住宅大樓(11層含以上有電梯)",13,"四層/十八層","房地(土地+建物)","1房2廳1衛","0","住家用",121.564802,25.051652
