amount,price,area,age,car,add,date,type,floor.height,subject,pattern,k
480,50,9.6,43,0,臺北市中山區錦州街３０巷１１號八樓之１７,111/09/22,華廈(10層含以下有電梯),八層/十層,房地(土地+建物),1房1廳1衛,4
960,61.3,15.65,45,0,臺北市中山區新生北路三段４３號十樓之８,111/09/22,住宅大樓(11層含以上有電梯),十層/十一層,房地(土地+建物),未知,4
300,55.2,5.43,46,0,臺北市中山區天祥路５６號三樓之２,111/09/19,華廈(10層含以下有電梯),三層/七層,房地(土地+建物),3房2廳1衛,4
1670,53.1,31.47,36,0,臺北市中山區龍江路４１５巷２７號二樓,111/09/19,公寓(5樓含以下無電梯),二層/五層,房地(土地+建物),3房2廳2衛,4
1520,44.6,34.12,41,0,臺北市中山區龍江路３９４巷４８號三樓,111/09/19,公寓(5樓含以下無電梯),三層/五層,房地(土地+建物),3房2廳2衛,4
2000,28.3,70.76,13,0,臺北市中山區新生北路二段５１號七樓,111/09/19,住宅大樓(11層含以上有電梯),七層/十九層,房地(土地+建物)+車位,3房2廳2衛,4
500,60.3,8.29,43,0,臺北市中山區德惠街４５號八樓之１１,111/09/15,華廈(10層含以下有電梯),八層/九層,房地(土地+建物),1房0廳1衛,4
1290,44,29.3,42,0,臺北市中山區建國北路三段１１３巷１９弄３號五樓,111/09/11,公寓(5樓含以下無電梯),五層/五層,房地(土地+建物),3房1廳2衛,4
560,55.6,10.08,43,0,臺北市中山區農安街３４號九樓之１３,111/09/11,華廈(10層含以下有電梯),九層/十層,房地(土地+建物),1房0廳1衛,4
1250,45.4,27.55,47,0,臺北市中山區民族東路４１０巷３５號二樓,111/09/07,公寓(5樓含以下無電梯),二層/四層,房地(土地+建物),3房2廳1衛,4
500,55.8,8.96,41,0,臺北市中山區德惠街５２號十樓之１０,111/09/07,住宅大樓(11層含以上有電梯),十層/十一層,房地(土地+建物),1房1廳1衛,4
120,60.3,1.99,43,0,臺北市中山區龍江路３７０巷９號一樓,111/09/07,公寓(5樓含以下無電梯),一層/五層,房地(土地+建物),3房3廳2衛,4
2225,53.1,41.9,40,0,臺北市中山區龍江路３５６巷７２號二樓,111/09/05,華廈(10層含以下有電梯),二層/七層,房地(土地+建物),4房2廳2衛,4
2000,71.2,28.07,54,0,臺北市中山區吉林路９８巷３９號,111/09/04,公寓(5樓含以下無電梯),四層/五層,房地(土地+建物),2房1廳3衛,4
1500,55.8,26.88,53,0,臺北市中山區農安街１２５巷３８號二樓,111/09/03,公寓(5樓含以下無電梯),二層/四層,房地(土地+建物),3房2廳1衛,4
500,45.8,10.93,40,0,臺北市中山區林森北路４０９號十樓之３４,111/09/01,住宅大樓(11層含以上有電梯),十層/十二層,房地(土地+建物),未知,4
736.8,55.8,13.2,42,0,臺北市中山區民生東路二段８３號六樓之２０,111/09/01,華廈(10層含以下有電梯),六層/七層,房地(土地+建物),未知,4
1680,59.7,28.12,48,0,臺北市中山區新生北路三段１１巷６３號三樓,111/08/31,公寓(5樓含以下無電梯),三層/四層,房地(土地+建物),3房2廳2衛,4
1700,55.1,30.87,43,0,臺北市中山區復興北路５１４巷１９號四樓,111/08/30,公寓(5樓含以下無電梯),四層/五層,房地(土地+建物),3房2廳2衛,4
1600,59.8,26.77,48,0,臺北市中山區德惠街１９８巷７號四樓,111/08/29,公寓(5樓含以下無電梯),四層/四層,房地(土地+建物),2房2廳1衛,4
200,21.3,9.38,38,0,臺北市中山區錦州街５０號六樓之２１,111/08/29,住宅大樓(11層含以上有電梯),六層/十三層,房地(土地+建物),1房1廳1衛,4
