add,date,amount,price,area,type,age,floor.height,subject,pattern,car,use,lon,lat
臺北市中正區羅斯福路三段２號二十一樓之２,111/08/29,9998.9,83.8,119.28,住宅大樓(11層含以上有電梯),5,二十一層/二十四層,房地(土地+建物)+車位,4房2廳3衛,0,住家用,121.5270828,25.0213709
臺北市中正區青島東路４號五樓之９,111/08/28,3215,80.6,39.87,華廈(10層含以下有電梯),40,五層/七層,房地(土地+建物),3房2廳2衛,0,住家用,121.5215871,25.043849
臺北市中正區仁愛路二段１５巷２３號三樓,111/08/27,2700,85.5,31.56,公寓(5樓含以下無電梯),48,"三層,陽臺/四層",房地(土地+建物),3房2廳1衛,0,住家用,121.5258951,25.0389432
臺北市中正區紹興南街１８之９號三樓,111/08/27,960,77.3,12.43,華廈(10層含以下有電梯),26,三層/六層,房地(土地+建物),1房1廳1衛,0,住家用,121.5236788,25.0399012
臺北市中正區廈門街３７號二樓,111/08/27,1280,48.4,26.45,公寓(5樓含以下無電梯),49,二層/五層,房地(土地+建物),1房2廳1衛,0,住家用,121.5178124,25.0260702
臺北市中正區杭州南路一段７９號十樓之２,111/08/26,3450,81.7,42.24,住宅大樓(11層含以上有電梯),40,十層/十一層,房地(土地+建物),4房2廳2衛,0,住家用,121.5257278,25.0393263
臺北市中正區杭州南路一段７１巷６號,111/08/25,4800,114.8,41.82,華廈(10層含以下有電梯),51,一層/六層,房地(土地+建物),4房3廳3衛,0,住家用,121.5261418,25.0395633
臺北市中正區羅斯福路二段１４０號九樓之５,111/08/24,2500,95.1,26.28,住宅大樓(11層含以上有電梯),35,九層/十二層,房地(土地+建物),2房2廳1衛,0,住家用,121.522937,25.025806
臺北市中正區和平西路一段５９號七樓之１７,111/08/23,1450,125.7,11.53,住宅大樓(11層含以上有電梯),14,七層/十四層,房地(土地+建物),1房0廳1衛,0,住家用,121.5194887,25.026712
臺北市中正區同安街９７巷８號四樓,111/08/23,1880,70.4,26.71,公寓(5樓含以下無電梯),51,"四層,陽臺/四層",房地(土地+建物),2房2廳1衛,0,住家用,121.5208301,25.0219906
臺北市中正區和平西路二段１６０之２號四樓,111/08/23,1250,53.9,23.2,住宅大樓(11層含以上有電梯),35,四層/十一層,房地(土地+建物),2房2廳1衛,0,住家用,121.5054564,25.0330698
臺北市中正區辛亥路一段１３號七樓,111/08/23,1800,46.4,38.83,華廈(10層含以下有電梯),43,七層/七層,房地(土地+建物),3房1廳2衛,0,住家用,121.5279164,25.0190298
臺北市中正區和平西路二段７０巷６弄５號五樓,111/08/21,915,75.8,12.06,公寓(5樓含以下無電梯),43,五層/五層,房地(土地+建物),2房1廳2衛,0,住家用,121.5114109,25.0287424
臺北市中正區水源路２３之１號九樓,111/08/21,2160,64.9,33.27,華廈(10層含以下有電梯),38,九層/十層,房地(土地+建物),3房2廳2衛,0,住家用,121.525195,25.017079
臺北市中正區羅斯福路一段８３巷２號六樓之７,111/08/21,1672,140,11.94,住宅大樓(11層含以上有電梯),13,六層/十四層,房地(土地+建物),1房1廳1衛,0,住家用,121.5198493,25.03139
臺北市中正區臨沂街３２巷２號四樓之２,111/08/20,1534,111.1,13.81,華廈(10層含以下有電梯),8,四層/七層,房地(土地+建物),1房1廳1衛,0,住家用,121.5295506,25.0396435
臺北市中正區齊東街８２巷１３號,111/08/18,2350,91.8,25.6,公寓(5樓含以下無電梯),50,"一層,走廊/四層",房地(土地+建物),3房2廳1衛,0,住家用,121.5275611,25.0419474
