"add","date","amount","price","area","type","age","floor.height","subject","pattern","car","use","section","lon","lat"
"臺北市北投區溫泉路１３９號六樓之３６","111/03/14",470,26.7,17.63,"華廈(10層含以下有電梯)",44,"六層/七層","房地(土地+建物)","1房2廳1衛","0","住家用","北投區",121.5119595,25.1399752
"臺北市北投區中和街４０號七樓之２３","111/03/14",375,38.2,9.82,"華廈(10層含以下有電梯)",42,"七層/八層","房地(土地+建物)","1房1廳1衛","0","住家用","北投區",121.5028006,25.1381929
"臺北市北投區稻香路１６１巷１號三樓之１","111/03/13",1826,44.7,40.87,"華廈(10層含以下有電梯)",15,"三層/十層","房地(土地+建物)","3房2廳2衛","0","住家用","北投區",121.4890425,25.1422003
"臺北市北投區承德路七段３４２巷９號","111/03/13",1780,82.6,21.54,"華廈(10層含以下有電梯)",7,"一層/七層","房地(土地+建物)","2房1廳1衛","0","住家用","北投區",121.5047402,25.1176126
"臺北市北投區行義路１５４巷１１號五樓","111/03/12",3600,53.6,67.15,"華廈(10層含以下有電梯)",8,"五層,見其他登記事項/五層","房地(土地+建物)+車位","4房2廳4衛","0","住家用","北投區",121.529244,25.1305564
"臺北市北投區中央北路一段１８０巷１６號四樓","111/03/12",1150,39.1,29.39,"公寓(5樓含以下無電梯)",41,"四層/五層","房地(土地+建物)","3房1廳2衛","0","住家用","北投區",121.4985692,25.1361156
"臺北市北投區致遠二路１２５巷３號三樓","111/03/12",3210,74.8,42.94,"華廈(10層含以下有電梯)",25,"三層/七層","房地(土地+建物)","3房2廳2衛","0","住家用","北投區",121.5120697,25.117186
"臺北市北投區中正街４９巷３５號六樓之１","111/03/12",1355,56.5,23.98,"華廈(10層含以下有電梯)",24,"六層/七層","房地(土地+建物)+車位","3房1廳2衛","100","住家用","北投區",121.499721,25.1314208
"臺北市北投區吉利街１４９巷１１號八樓","111/03/12",1810,64.7,28.99,"華廈(10層含以下有電梯)",5,"八層/九層","房地(土地+建物)+車位","1房1廳1衛","150","住家用","北投區",121.5075486,25.1191162
"臺北市北投區大業路６５巷７６號三樓","111/03/12",850,37.5,22.65,"公寓(5樓含以下無電梯)",54,"三層/三層","房地(土地+建物)","2房2廳1衛","0","住家用","北投區",121.496361,25.1230663
